"customer_id";"first_name";"last_name";"email";"city";"country";"join_date";"customer_tier";"credit_score"
25;"First_25";"Last_25";"customer_25@email.com";"Rhodes";"France";"2019-12-19";"Bronze";583
26;"First_26";"Last_26";"customer_26@email.com";"Athens";"UK";"2021-03-14";"Gold";656
27;"First_27";"Last_27";"customer_27@email.com";"Chalkida";"Greece";"2022-05-12";"Silver";346
28;"First_28";"Last_28";"customer_28@email.com";"Patras";"Greece";"2022-06-07";"Gold";436
29;"First_29";"Last_29";"customer_29@email.com";"Ioannina";"Greece";"2020-09-19";"Silver";429
30;"First_30";"Last_30";"customer_30@email.com";"Heraklion";"Greece";"2021-11-09";"Bronze";494
31;"First_31";"Last_31";"customer_31@email.com";"Rhodes";"Germany";"2018-09-26";"Silver";663
32;"First_32";"Last_32";"customer_32@email.com";"Patras";"Greece";"2022-01-17";"Silver";731
33;"First_33";"Last_33";"customer_33@email.com";"Larissa";"Greece";"2019-11-30";"Bronze";368
34;"First_34";"Last_34";"customer_34@email.com";"Patras";"Greece";"2022-03-22";"Bronze";757
35;"First_35";"Last_35";"customer_35@email.com";"Ioannina";"Italy";"2020-05-14";"Bronze";839
36;"First_36";"Last_36";"customer_36@email.com";"Larissa";"Greece";"2018-12-16";"Silver";634
37;"First_37";"Last_37";"customer_37@email.com";"Rhodes";"Greece";"2018-04-20";"Gold";825
38;"First_38";"Last_38";"customer_38@email.com";"Ioannina";"Greece";"2022-02-15";"Silver";315
39;"First_39";"Last_39";"customer_39@email.com";"Thessaloniki";"Greece";"2019-02-11";"Platinum";755
40;"First_40";"Last_40";"customer_40@email.com";"Heraklion";"Greece";"2019-10-12";"Bronze";809
41;"First_41";"Last_41";"customer_41@email.com";"Rhodes";"Greece";"2018-02-20";"Gold";508
42;"First_42";"Last_42";"customer_42@email.com";"Thessaloniki";"UK";"2021-11-27";"Gold";457
43;"First_43";"Last_43";"customer_43@email.com";"Chalkida";"Greece";"2022-05-06";"Bronze";636
44;"First_44";"Last_44";"customer_44@email.com";"Rhodes";"Germany";"2022-02-08";"Platinum";540
45;"First_45";"Last_45";"customer_45@email.com";"Chalkida";"Italy";"2021-01-15";"Bronze";357
46;"First_46";"Last_46";"customer_46@email.com";"Larissa";"UK";"2020-12-27";"Gold";604
47;"First_47";"Last_47";"customer_47@email.com";"Thessaloniki";"Greece";"2019-08-19";"Gold";644
48;"First_48";"Last_48";"customer_48@email.com";"Heraklion";"Greece";"2020-09-05";"Silver";313
49;"First_49";"Last_49";"customer_49@email.com";"Ioannina";"Germany";"2020-12-01";"Silver";658
50;"First_50";"Last_50";"customer_50@email.com";"Chania";"Germany";"2020-01-01";"Bronze";676
51;"First_51";"Last_51";"customer_51@email.com";"Patras";"Greece";"2018-02-26";"Silver";542
52;"First_52";"Last_52";"customer_52@email.com";"Athens";"Germany";"2020-01-08";"Bronze";444
53;"First_53";"Last_53";"customer_53@email.com";"Heraklion";"Greece";"2018-07-15";"Silver";714
54;"First_54";"Last_54";"customer_54@email.com";"Thessaloniki";"Greece";"2022-11-19";"Silver";693
55;"First_55";"Last_55";"customer_55@email.com";"Chania";"Greece";"2022-08-29";"Gold";657
56;"First_56";"Last_56";"customer_56@email.com";"Heraklion";"Greece";"2020-12-21";"Bronze";457
57;"First_57";"Last_57";"customer_57@email.com";"Thessaloniki";"Greece";"2021-07-10";"Gold";317
58;"First_58";"Last_58";"customer_58@email.com";"Volos";"Germany";"2018-04-22";"Gold";646
59;"First_59";"Last_59";"customer_59@email.com";"Volos";"Greece";"2020-02-04";"Silver";357
60;"First_60";"Last_60";"customer_60@email.com";"Chalkida";"Greece";"2019-12-12";"Bronze";454
61;"First_61";"Last_61";"customer_61@email.com";"Heraklion";"Greece";"2021-04-16";"Bronze";786
62;"First_62";"Last_62";"customer_62@email.com";"Volos";"Greece";"2020-08-05";"Bronze";830
63;"First_63";"Last_63";"customer_63@email.com";"Thessaloniki";"Greece";"2018-01-26";"Silver";786
64;"First_64";"Last_64";"customer_64@email.com";"Chalkida";"Germany";"2019-02-14";"Silver";450
65;"First_65";"Last_65";"customer_65@email.com";"Thessaloniki";"UK";"2020-01-28";"Platinum";658
66;"First_66";"Last_66";"customer_66@email.com";"Chalkida";"UK";"2019-06-15";"Bronze";667
67;"First_67";"Last_67";"customer_67@email.com";"Heraklion";"Germany";"2022-12-06";"Bronze";346
68;"First_68";"Last_68";"customer_68@email.com";"Chania";"Greece";"2021-09-02";"Silver";506
69;"First_69";"Last_69";"customer_69@email.com";"Ioannina";"Greece";"2022-04-05";"Gold";749
70;"First_70";"Last_70";"customer_70@email.com";"Rhodes";"Greece";"2021-02-03";"Gold";782
71;"First_71";"Last_71";"customer_71@email.com";"Chania";"Greece";"2020-01-19";"Gold";442
72;"First_72";"Last_72";"customer_72@email.com";"Larissa";"Italy";"2022-01-27";"Bronze";699
73;"First_73";"Last_73";"customer_73@email.com";"Thessaloniki";"Greece";"2018-09-03";"Silver";396
74;"First_74";"Last_74";"customer_74@email.com";"Larissa";"Greece";"2021-01-09";"Gold";346
75;"First_75";"Last_75";"customer_75@email.com";"Chania";"France";"2019-10-24";"Bronze";490
76;"First_76";"Last_76";"customer_76@email.com";"Chalkida";"Italy";"2020-06-27";"Bronze";439
77;"First_77";"Last_77";"customer_77@email.com";"Rhodes";"UK";"2019-01-31";"Bronze";530
78;"First_78";"Last_78";"customer_78@email.com";"Rhodes";"Greece";"2019-06-06";"Bronze";639
79;"First_79";"Last_79";"customer_79@email.com";"Athens";"Greece";"2022-10-26";"Silver";790
80;"First_80";"Last_80";"customer_80@email.com";"Rhodes";"Greece";"2020-07-14";"Bronze";348
81;"First_81";"Last_81";"customer_81@email.com";"Ioannina";"Greece";"2018-09-21";"Bronze";752
82;"First_82";"Last_82";"customer_82@email.com";"Rhodes";"Greece";"2022-08-12";"Bronze";615
83;"First_83";"Last_83";"customer_83@email.com";"Chania";"Greece";"2020-02-29";"Silver";621
84;"First_84";"Last_84";"customer_84@email.com";"Athens";"Italy";"2021-07-21";"Bronze";386
85;"First_85";"Last_85";"customer_85@email.com";"Chania";"Greece";"2022-09-26";"Silver";773
86;"First_86";"Last_86";"customer_86@email.com";"Chania";"Germany";"2018-06-21";"Bronze";581
87;"First_87";"Last_87";"customer_87@email.com";"Patras";"Germany";"2018-09-22";"Bronze";373
88;"First_88";"Last_88";"customer_88@email.com";"Athens";"Greece";"2020-11-15";"Bronze";752
89;"First_89";"Last_89";"customer_89@email.com";"Chania";"Germany";"2022-02-01";"Bronze";346
90;"First_90";"Last_90";"customer_90@email.com";"Patras";"Greece";"2019-04-21";"Bronze";395
91;"First_91";"Last_91";"customer_91@email.com";"Patras";"Greece";"2018-12-22";"Bronze";330
92;"First_92";"Last_92";"customer_92@email.com";"Athens";"UK";"2020-11-15";"Gold";833
93;"First_93";"Last_93";"customer_93@email.com";"Larissa";"Greece";"2018-02-03";"Silver";316
94;"First_94";"Last_94";"customer_94@email.com";"Chalkida";"Italy";"2018-09-21";"Bronze";511
95;"First_95";"Last_95";"customer_95@email.com";"Ioannina";"Greece";"2021-03-07";"Bronze";534
96;"First_96";"Last_96";"customer_96@email.com";"Chalkida";"Greece";"2020-03-26";"Platinum";691
97;"First_97";"Last_97";"customer_97@email.com";"Rhodes";"Greece";"2022-09-15";"Silver";653
98;"First_98";"Last_98";"customer_98@email.com";"Ioannina";"Greece";"2020-05-24";"Bronze";604
99;"First_99";"Last_99";"customer_99@email.com";"Rhodes";"Greece";"2020-01-24";"Silver";849
100;"First_100";"Last_100";"customer_100@email.com";"Chania";"Germany";"2019-07-20";"Silver";839
101;"First_101";"Last_101";"customer_101@email.com";"Thessaloniki";"France";"2019-04-07";"Silver";808
102;"First_102";"Last_102";"customer_102@email.com";"Athens";"France";"2021-04-06";"Bronze";694
103;"First_103";"Last_103";"customer_103@email.com";"Ioannina";"Greece";"2022-07-13";"Bronze";730
104;"First_104";"Last_104";"customer_104@email.com";"Ioannina";"UK";"2019-10-17";"Bronze";476
105;"First_105";"Last_105";"customer_105@email.com";"Chania";"Germany";"2018-03-22";"Gold";705
106;"First_106";"Last_106";"customer_106@email.com";"Larissa";"UK";"2020-01-27";"Silver";600
107;"First_107";"Last_107";"customer_107@email.com";"Patras";"Greece";"2020-05-19";"Bronze";744
108;"First_108";"Last_108";"customer_108@email.com";"Chania";"Germany";"2021-12-01";"Gold";426
109;"First_109";"Last_109";"customer_109@email.com";"Volos";"France";"2022-05-17";"Gold";648
110;"First_110";"Last_110";"customer_110@email.com";"Patras";"Greece";"2020-12-05";"Platinum";320
111;"First_111";"Last_111";"customer_111@email.com";"Athens";"France";"2019-08-22";"Gold";719
112;"First_112";"Last_112";"customer_112@email.com";"Patras";"Greece";"2022-06-23";"Platinum";451
113;"First_113";"Last_113";"customer_113@email.com";"Larissa";"Greece";"2020-03-17";"Bronze";459
114;"First_114";"Last_114";"customer_114@email.com";"Patras";"Greece";"2020-12-12";"Gold";779
115;"First_115";"Last_115";"customer_115@email.com";"Athens";"Greece";"2020-09-10";"Gold";742
116;"First_116";"Last_116";"customer_116@email.com";"Larissa";"Greece";"2019-12-05";"Bronze";395
117;"First_117";"Last_117";"customer_117@email.com";"Chalkida";"France";"2019-04-21";"Bronze";651
118;"First_118";"Last_118";"customer_118@email.com";"Ioannina";"Greece";"2019-08-15";"Platinum";374
119;"First_119";"Last_119";"customer_119@email.com";"Ioannina";"France";"2018-01-16";"Bronze";658
120;"First_120";"Last_120";"customer_120@email.com";"Rhodes";"France";"2021-10-15";"Gold";432
121;"First_121";"Last_121";"customer_121@email.com";"Chalkida";"Greece";"2019-05-02";"Bronze";699
122;"First_122";"Last_122";"customer_122@email.com";"Chalkida";"France";"2019-12-07";"Bronze";438
123;"First_123";"Last_123";"customer_123@email.com";"Patras";"Italy";"2022-03-06";"Bronze";545
124;"First_124";"Last_124";"customer_124@email.com";"Ioannina";"UK";"2021-03-10";"Bronze";590
125;"First_125";"Last_125";"customer_125@email.com";"Athens";"UK";"2019-09-12";"Silver";411
126;"First_126";"Last_126";"customer_126@email.com";"Heraklion";"Italy";"2020-10-15";"Silver";469
127;"First_127";"Last_127";"customer_127@email.com";"Heraklion";"Germany";"2020-02-16";"Bronze";539
128;"First_128";"Last_128";"customer_128@email.com";"Larissa";"Greece";"2019-03-23";"Bronze";636
129;"First_129";"Last_129";"customer_129@email.com";"Ioannina";"France";"2018-10-17";"Bronze";437
130;"First_130";"Last_130";"customer_130@email.com";"Ioannina";"Germany";"2018-07-28";"Bronze";535
131;"First_131";"Last_131";"customer_131@email.com";"Heraklion";"Greece";"2022-02-07";"Silver";302
132;"First_132";"Last_132";"customer_132@email.com";"Ioannina";"Greece";"2019-02-17";"Bronze";415
133;"First_133";"Last_133";"customer_133@email.com";"Patras";"UK";"2019-11-08";"Bronze";771
134;"First_134";"Last_134";"customer_134@email.com";"Volos";"Greece";"2021-12-21";"Bronze";430
135;"First_135";"Last_135";"customer_135@email.com";"Thessaloniki";"Italy";"2021-10-26";"Bronze";782
136;"First_136";"Last_136";"customer_136@email.com";"Chalkida";"Greece";"2019-10-26";"Bronze";700
137;"First_137";"Last_137";"customer_137@email.com";"Rhodes";"Greece";"2018-10-17";"Bronze";500
138;"First_138";"Last_138";"customer_138@email.com";"Larissa";"Greece";"2021-12-26";"Gold";591
139;"First_139";"Last_139";"customer_139@email.com";"Volos";"Greece";"2021-07-15";"Gold";641
140;"First_140";"Last_140";"customer_140@email.com";"Heraklion";"Germany";"2018-05-31";"Gold";515
141;"First_141";"Last_141";"customer_141@email.com";"Chalkida";"Italy";"2022-10-09";"Bronze";665
142;"First_142";"Last_142";"customer_142@email.com";"Ioannina";"France";"2021-07-02";"Bronze";768
143;"First_143";"Last_143";"customer_143@email.com";"Rhodes";"Greece";"2021-10-08";"Silver";717
144;"First_144";"Last_144";"customer_144@email.com";"Ioannina";"Greece";"2021-11-01";"Silver";326
145;"First_145";"Last_145";"customer_145@email.com";"Athens";"France";"2022-08-04";"Platinum";754
146;"First_146";"Last_146";"customer_146@email.com";"Athens";"Italy";"2020-05-04";"Bronze";313
147;"First_147";"Last_147";"customer_147@email.com";"Rhodes";"Greece";"2021-10-13";"Bronze";397
148;"First_148";"Last_148";"customer_148@email.com";"Rhodes";"Greece";"2019-08-31";"Silver";578
149;"First_149";"Last_149";"customer_149@email.com";"Heraklion";"Greece";"2019-01-05";"Gold";789
150;"First_150";"Last_150";"customer_150@email.com";"Rhodes";"France";"2021-06-04";"Gold";506
151;"First_151";"Last_151";"customer_151@email.com";"Patras";"Germany";"2019-12-06";"Silver";532
152;"First_152";"Last_152";"customer_152@email.com";"Ioannina";"Greece";"2021-08-19";"Platinum";538
153;"First_153";"Last_153";"customer_153@email.com";"Volos";"Greece";"2020-04-05";"Silver";549
154;"First_154";"Last_154";"customer_154@email.com";"Chania";"France";"2020-10-01";"Gold";605
155;"First_155";"Last_155";"customer_155@email.com";"Rhodes";"Greece";"2021-11-13";"Platinum";762
156;"First_156";"Last_156";"customer_156@email.com";"Larissa";"Greece";"2019-01-12";"Gold";535
157;"First_157";"Last_157";"customer_157@email.com";"Athens";"Greece";"2020-08-30";"Bronze";590
158;"First_158";"Last_158";"customer_158@email.com";"Patras";"Greece";"2018-04-28";"Bronze";338
159;"First_159";"Last_159";"customer_159@email.com";"Chalkida";"Greece";"2020-10-25";"Silver";482
160;"First_160";"Last_160";"customer_160@email.com";"Chania";"France";"2019-03-20";"Bronze";329
161;"First_161";"Last_161";"customer_161@email.com";"Volos";"France";"2021-10-07";"Gold";687
162;"First_162";"Last_162";"customer_162@email.com";"Chania";"France";"2020-01-25";"Bronze";442
163;"First_163";"Last_163";"customer_163@email.com";"Rhodes";"France";"2022-04-06";"Bronze";718
164;"First_164";"Last_164";"customer_164@email.com";"Heraklion";"Greece";"2022-08-15";"Silver";373
165;"First_165";"Last_165";"customer_165@email.com";"Athens";"France";"2019-10-02";"Bronze";354
166;"First_166";"Last_166";"customer_166@email.com";"Athens";"Greece";"2018-05-04";"Bronze";323
167;"First_167";"Last_167";"customer_167@email.com";"Chalkida";"Germany";"2019-10-20";"Bronze";321
168;"First_168";"Last_168";"customer_168@email.com";"Heraklion";"Italy";"2021-07-24";"Silver";727
169;"First_169";"Last_169";"customer_169@email.com";"Ioannina";"Greece";"2020-04-01";"Bronze";331
170;"First_170";"Last_170";"customer_170@email.com";"Thessaloniki";"Greece";"2021-11-18";"Gold";638
171;"First_171";"Last_171";"customer_171@email.com";"Patras";"Greece";"2019-10-26";"Bronze";814
172;"First_172";"Last_172";"customer_172@email.com";"Athens";"Greece";"2018-12-26";"Gold";811
173;"First_173";"Last_173";"customer_173@email.com";"Larissa";"Greece";"2019-09-15";"Bronze";369
174;"First_174";"Last_174";"customer_174@email.com";"Athens";"France";"2022-02-01";"Bronze";387
175;"First_175";"Last_175";"customer_175@email.com";"Chania";"Italy";"2022-07-10";"Bronze";518
176;"First_176";"Last_176";"customer_176@email.com";"Athens";"Greece";"2022-09-20";"Bronze";569
177;"First_177";"Last_177";"customer_177@email.com";"Athens";"Greece";"2020-12-16";"Silver";377
178;"First_178";"Last_178";"customer_178@email.com";"Thessaloniki";"Greece";"2021-06-28";"Bronze";309
179;"First_179";"Last_179";"customer_179@email.com";"Thessaloniki";"France";"2020-07-07";"Bronze";767
180;"First_180";"Last_180";"customer_180@email.com";"Volos";"Greece";"2021-03-19";"Silver";635
181;"First_181";"Last_181";"customer_181@email.com";"Ioannina";"Greece";"2019-03-28";"Bronze";485
182;"First_182";"Last_182";"customer_182@email.com";"Larissa";"Greece";"2021-03-31";"Bronze";845
183;"First_183";"Last_183";"customer_183@email.com";"Athens";"Greece";"2018-04-30";"Silver";420
184;"First_184";"Last_184";"customer_184@email.com";"Athens";"Greece";"2019-08-05";"Gold";573
185;"First_185";"Last_185";"customer_185@email.com";"Patras";"France";"2021-10-06";"Bronze";709
186;"First_186";"Last_186";"customer_186@email.com";"Thessaloniki";"Greece";"2018-04-09";"Bronze";657
187;"First_187";"Last_187";"customer_187@email.com";"Larissa";"Germany";"2021-04-05";"Platinum";397
188;"First_188";"Last_188";"customer_188@email.com";"Chalkida";"Greece";"2022-08-14";"Bronze";540
189;"First_189";"Last_189";"customer_189@email.com";"Volos";"UK";"2019-05-29";"Platinum";413
190;"First_190";"Last_190";"customer_190@email.com";"Ioannina";"Germany";"2019-10-26";"Bronze";786
191;"First_191";"Last_191";"customer_191@email.com";"Heraklion";"Greece";"2019-02-05";"Gold";540
192;"First_192";"Last_192";"customer_192@email.com";"Ioannina";"Greece";"2018-12-31";"Bronze";455
193;"First_193";"Last_193";"customer_193@email.com";"Chania";"Greece";"2022-05-20";"Gold";651
194;"First_194";"Last_194";"customer_194@email.com";"Athens";"France";"2021-09-11";"Bronze";343
195;"First_195";"Last_195";"customer_195@email.com";"Volos";"Greece";"2019-08-04";"Silver";611
196;"First_196";"Last_196";"customer_196@email.com";"Chania";"Italy";"2022-07-15";"Bronze";437
197;"First_197";"Last_197";"customer_197@email.com";"Larissa";"Greece";"2019-09-13";"Bronze";735
198;"First_198";"Last_198";"customer_198@email.com";"Heraklion";"UK";"2020-04-07";"Silver";442
199;"First_199";"Last_199";"customer_199@email.com";"Thessaloniki";"Germany";"2018-09-04";"Silver";598
200;"First_200";"Last_200";"customer_200@email.com";"Volos";"UK";"2019-03-10";"Gold";561
201;"First_201";"Last_201";"customer_201@email.com";"Volos";"Greece";"2021-01-21";"Bronze";811
202;"First_202";"Last_202";"customer_202@email.com";"Athens";"Greece";"2021-07-15";"Gold";361
203;"First_203";"Last_203";"customer_203@email.com";"Rhodes";"UK";"2019-09-07";"Bronze";722
204;"First_204";"Last_204";"customer_204@email.com";"Volos";"Greece";"2020-07-31";"Platinum";695
205;"First_205";"Last_205";"customer_205@email.com";"Patras";"Greece";"2020-08-20";"Platinum";330
206;"First_206";"Last_206";"customer_206@email.com";"Heraklion";"Greece";"2019-09-16";"Bronze";629
207;"First_207";"Last_207";"customer_207@email.com";"Heraklion";"Greece";"2018-11-17";"Gold";468
208;"First_208";"Last_208";"customer_208@email.com";"Patras";"Greece";"2020-05-05";"Gold";565
209;"First_209";"Last_209";"customer_209@email.com";"Chalkida";"Greece";"2018-03-03";"Bronze";607
210;"First_210";"Last_210";"customer_210@email.com";"Patras";"Greece";"2018-10-27";"Silver";758
211;"First_211";"Last_211";"customer_211@email.com";"Patras";"UK";"2019-02-07";"Bronze";484
212;"First_212";"Last_212";"customer_212@email.com";"Heraklion";"Germany";"2020-08-12";"Gold";633
213;"First_213";"Last_213";"customer_213@email.com";"Ioannina";"France";"2022-07-30";"Bronze";814
214;"First_214";"Last_214";"customer_214@email.com";"Heraklion";"Italy";"2022-05-10";"Bronze";740
215;"First_215";"Last_215";"customer_215@email.com";"Rhodes";"Greece";"2022-07-02";"Bronze";690
216;"First_216";"Last_216";"customer_216@email.com";"Athens";"Greece";"2021-08-19";"Silver";553
217;"First_217";"Last_217";"customer_217@email.com";"Chania";"Greece";"2022-11-29";"Gold";634
218;"First_218";"Last_218";"customer_218@email.com";"Ioannina";"Greece";"2018-09-10";"Platinum";699
219;"First_219";"Last_219";"customer_219@email.com";"Thessaloniki";"Italy";"2022-10-24";"Bronze";465
220;"First_220";"Last_220";"customer_220@email.com";"Chania";"Greece";"2019-04-23";"Bronze";559
221;"First_221";"Last_221";"customer_221@email.com";"Athens";"Greece";"2021-10-24";"Silver";303
222;"First_222";"Last_222";"customer_222@email.com";"Rhodes";"Greece";"2022-08-30";"Silver";418
223;"First_223";"Last_223";"customer_223@email.com";"Rhodes";"Greece";"2018-06-09";"Bronze";769
224;"First_224";"Last_224";"customer_224@email.com";"Thessaloniki";"Germany";"2020-08-18";"Bronze";769
225;"First_225";"Last_225";"customer_225@email.com";"Ioannina";"Greece";"2021-04-04";"Silver";792
226;"First_226";"Last_226";"customer_226@email.com";"Chalkida";"Italy";"2018-07-24";"Bronze";799
227;"First_227";"Last_227";"customer_227@email.com";"Patras";"Greece";"2021-07-14";"Silver";369
228;"First_228";"Last_228";"customer_228@email.com";"Ioannina";"Greece";"2021-03-07";"Silver";669
229;"First_229";"Last_229";"customer_229@email.com";"Chalkida";"France";"2021-10-23";"Gold";480
230;"First_230";"Last_230";"customer_230@email.com";"Rhodes";"Greece";"2022-01-06";"Silver";304
231;"First_231";"Last_231";"customer_231@email.com";"Heraklion";"Italy";"2020-05-07";"Bronze";496
232;"First_232";"Last_232";"customer_232@email.com";"Athens";"Italy";"2020-01-30";"Gold";346
233;"First_233";"Last_233";"customer_233@email.com";"Thessaloniki";"UK";"2022-05-10";"Silver";439
234;"First_234";"Last_234";"customer_234@email.com";"Athens";"UK";"2019-12-22";"Bronze";839
235;"First_235";"Last_235";"customer_235@email.com";"Larissa";"Greece";"2020-11-06";"Silver";726
236;"First_236";"Last_236";"customer_236@email.com";"Larissa";"Italy";"2018-03-09";"Bronze";609
237;"First_237";"Last_237";"customer_237@email.com";"Ioannina";"Greece";"2018-05-13";"Gold";573
238;"First_238";"Last_238";"customer_238@email.com";"Rhodes";"UK";"2022-09-20";"Bronze";838
239;"First_239";"Last_239";"customer_239@email.com";"Rhodes";"Italy";"2020-07-07";"Silver";689
240;"First_240";"Last_240";"customer_240@email.com";"Patras";"Italy";"2019-03-06";"Bronze";758
241;"First_241";"Last_241";"customer_241@email.com";"Patras";"France";"2018-11-04";"Bronze";660
242;"First_242";"Last_242";"customer_242@email.com";"Patras";"Greece";"2019-10-12";"Platinum";368
243;"First_243";"Last_243";"customer_243@email.com";"Heraklion";"Italy";"2021-04-12";"Gold";730
244;"First_244";"Last_244";"customer_244@email.com";"Chania";"Germany";"2019-02-16";"Bronze";331
245;"First_245";"Last_245";"customer_245@email.com";"Volos";"Italy";"2018-04-07";"Bronze";812
246;"First_246";"Last_246";"customer_246@email.com";"Chania";"Germany";"2022-09-03";"Bronze";481
247;"First_247";"Last_247";"customer_247@email.com";"Athens";"Greece";"2021-03-23";"Silver";547
248;"First_248";"Last_248";"customer_248@email.com";"Chania";"Greece";"2022-09-15";"Silver";596
249;"First_249";"Last_249";"customer_249@email.com";"Heraklion";"Greece";"2021-06-19";"Silver";329
250;"First_250";"Last_250";"customer_250@email.com";"Athens";"UK";"2021-08-20";"Silver";601
251;"First_251";"Last_251";"customer_251@email.com";"Chania";"Greece";"2021-08-01";"Gold";775
252;"First_252";"Last_252";"customer_252@email.com";"Heraklion";"Greece";"2020-11-16";"Bronze";651
253;"First_253";"Last_253";"customer_253@email.com";"Volos";"Greece";"2021-11-26";"Bronze";781
254;"First_254";"Last_254";"customer_254@email.com";"Chania";"France";"2021-10-15";"Silver";616
255;"First_255";"Last_255";"customer_255@email.com";"Heraklion";"Greece";"2020-12-19";"Platinum";696
256;"First_256";"Last_256";"customer_256@email.com";"Patras";"Greece";"2018-07-21";"Silver";388
257;"First_257";"Last_257";"customer_257@email.com";"Rhodes";"Greece";"2020-02-01";"Silver";533
258;"First_258";"Last_258";"customer_258@email.com";"Patras";"Greece";"2020-05-23";"Silver";467
259;"First_259";"Last_259";"customer_259@email.com";"Rhodes";"Greece";"2019-08-04";"Gold";425
260;"First_260";"Last_260";"customer_260@email.com";"Thessaloniki";"Greece";"2019-01-05";"Bronze";419
261;"First_261";"Last_261";"customer_261@email.com";"Thessaloniki";"Greece";"2019-06-17";"Bronze";727
262;"First_262";"Last_262";"customer_262@email.com";"Thessaloniki";"Italy";"2021-03-21";"Platinum";489
263;"First_263";"Last_263";"customer_263@email.com";"Volos";"France";"2021-01-30";"Gold";727
264;"First_264";"Last_264";"customer_264@email.com";"Patras";"Greece";"2020-06-17";"Bronze";501
265;"First_265";"Last_265";"customer_265@email.com";"Rhodes";"Italy";"2019-08-30";"Bronze";358
266;"First_266";"Last_266";"customer_266@email.com";"Heraklion";"Greece";"2022-01-09";"Bronze";522
267;"First_267";"Last_267";"customer_267@email.com";"Athens";"Germany";"2020-05-22";"Bronze";791
268;"First_268";"Last_268";"customer_268@email.com";"Heraklion";"Germany";"2021-06-06";"Platinum";310
269;"First_269";"Last_269";"customer_269@email.com";"Athens";"Greece";"2021-02-22";"Bronze";811
270;"First_270";"Last_270";"customer_270@email.com";"Larissa";"Greece";"2020-02-09";"Gold";609
271;"First_271";"Last_271";"customer_271@email.com";"Heraklion";"Greece";"2020-04-13";"Bronze";333
272;"First_272";"Last_272";"customer_272@email.com";"Chania";"Greece";"2020-09-25";"Silver";639
273;"First_273";"Last_273";"customer_273@email.com";"Chania";"UK";"2020-07-26";"Bronze";780
274;"First_274";"Last_274";"customer_274@email.com";"Ioannina";"Greece";"2018-08-24";"Silver";392
275;"First_275";"Last_275";"customer_275@email.com";"Patras";"Greece";"2018-06-11";"Silver";432
276;"First_276";"Last_276";"customer_276@email.com";"Athens";"Greece";"2019-07-08";"Silver";718
277;"First_277";"Last_277";"customer_277@email.com";"Athens";"Greece";"2020-02-27";"Bronze";767
278;"First_278";"Last_278";"customer_278@email.com";"Patras";"Greece";"2021-10-08";"Bronze";743
279;"First_279";"Last_279";"customer_279@email.com";"Volos";"Greece";"2020-12-27";"Bronze";329
280;"First_280";"Last_280";"customer_280@email.com";"Ioannina";"France";"2021-04-11";"Bronze";597
281;"First_281";"Last_281";"customer_281@email.com";"Volos";"Greece";"2022-07-19";"Silver";360
